spatial_cell,violations,mean_poi,max_poi,heavy_vehicle_ratio,high_severity_ratio,weekend_ratio,morning_peak_ratio,evening_peak_ratio,night_ratio,days_active,junction_ratio,mean_station_burden,mean_cell_volume,dominant_station,dominant_junction,dominant_violation,dominant_vehicle,organic_cluster_id,lat,lon,poi_density_score,peak_intensity,recent_7d_poi,previous_7d_poi,trend_ratio,trend_label,neighbor_mean_poi,neighbor_max_poi,propagation_score,trend_score,repeat_rate,repeat_rate_rank,enforcement_failure_index,cis_raw,cis,cis_band,lifecycle_state,spillover_index,archetype_id,archetype_name
cell_12.803_77.704,1,0.7537718023763802,0.7537718023763802,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.75,1.0,No Police Station,No Junction,PARKING ON FOOTPATH,LGV,-1,12.8026667,77.7043117,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.777732242909992,0.9886113934537812,26.10030706243603,1.0,1.0,17.368219037871032,30.254094165813715,24.048746161719553,24.048746161719553,Low,Stable,26.10030706243603,1,Night Spillovers
cell_12.805_77.7,2,1.4759065198095778,1.4759065198095778,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,27,12.80546215,77.6996843,1.621449039588185,1.0,2.9518130396191555,,,Stable,1.4860465630741935,1.6081700621651658,77.1878198567042,1.0,2.0,61.425281473899695,62.38318833162744,68.69082650972365,68.69082650972365,High,Stable,77.1878198567042,0,Junction Choke Points
cell_12.806_77.698,2,0.9886113934537812,0.9886113934537812,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING ON FOOTPATH,MOTOR CYCLE,27,12.8061427,77.6980816,1.0861006255656278,1.0,1.9772227869075625,,,Stable,1.0129537627642216,1.1051478805846757,48.72057318321392,1.0,2.0,61.425281473899695,49.23426305015353,47.91997185261003,47.91997185261003,Medium,Stable,48.72057318321392,1,Night Spillovers
cell_12.806_77.699,12,1.403679630959374,1.890850371872286,0.0,0.9166666666666666,0.6666666666666666,0.0,0.0,1.0,2,0.0,0.75,12.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,27,12.805853316666665,77.69932914166667,3.6003671675110933,1.0,8.422077785756244,,,Stable,1.403071596900659,1.5151372960078369,71.77584442169908,1.0,6.0,94.54324462640737,66.0974923234391,70.57606192425794,70.57606192425794,High,Stable,71.77584442169908,0,Junction Choke Points
cell_12.806_77.7,4,1.6081700621651658,1.6522579096170285,0.0,1.0,0.5,0.0,0.0,1.0,2,0.0,0.75,4.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,27,12.805588799999999,77.6995952,2.5882498676901218,1.0,3.2163401243303316,,,Stable,1.4880097107020231,1.534752684106966,81.00051177072672,1.0,2.0,61.425281473899695,64.2309365404299,72.28473643807575,72.28473643807575,High,Stable,81.00051177072672,0,Junction Choke Points
cell_12.807_77.697,10,0.7149405994881887,0.7537718023763802,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.75,10.0,Electronic City,No Junction,PARKING ON FOOTPATH,MOTOR CYCLE,27,12.80683397,77.69709128,1.7143526838443608,1.0,7.149405994881887,,,Stable,0.7462338883537863,0.8513555606494295,15.097236438075742,1.0,10.0,98.43270214943706,40.96238485158649,30.805719037871036,30.805719037871036,Medium,Stable,15.097236438075742,1,Night Spillovers
cell_12.807_77.698,7,1.2223448435099313,1.3862943611198906,0.0,0.7142857142857143,0.0,0.0,0.0,1.0,2,0.0,0.75,7.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,27,12.806689042857142,77.69796501428571,2.541794645852689,1.0,4.2782069522847594,,,Stable,1.1811110726567262,1.2322589566316795,63.38280450358239,1.0,3.5,84.33341862845445,60.20777891504606,63.25582139201637,63.25582139201637,High,Stable,63.38280450358239,0,Junction Choke Points
cell_12.807_77.699,3,1.5151372960078369,1.890850371872286,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,1.0,2,0.0,0.75,3.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,27,12.806801533333333,77.69855623333333,2.1004262897781025,1.0,2.272705944011755,,,Stable,1.4837788755304222,1.6081700621651658,78.5568065506653,1.0,1.5,46.404810644831116,60.488868986693966,67.87359263050153,67.87359263050153,High,Stable,78.5568065506653,0,Junction Choke Points
cell_12.808_77.697,1,0.7537718023763802,0.7537718023763802,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING ON FOOTPATH,SCOOTER,27,12.8080164,77.6973104,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.7372761449413774,0.8513555606494295,17.11873080859775,1.0,1.0,17.368219037871032,27.90736949846469,20.490660184237463,20.490660184237463,Low,Stable,17.11873080859775,5,Mixed Risk Zone
cell_12.808_77.698,1,1.0560526742493137,1.0560526742493137,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,WRONG PARKING,MOTOR CYCLE,27,12.8078253,77.6977015,0.7319999336787021,0.0,1.0560526742493137,,,Stable,1.0764855874447927,1.1786549963416462,53.147389969293755,1.0,1.0,17.368219037871032,43.65634595701126,44.443129477993864,44.443129477993864,Medium,Stable,53.147389969293755,1,Night Spillovers
