spatial_cell,organic_cluster_id,archetype_id,archetype_name,lifecycle_state
cell_12.803_77.704,-1,1,Night Spillovers,Stable
cell_12.805_77.7,27,0,Junction Choke Points,Stable
cell_12.806_77.698,27,1,Night Spillovers,Stable
cell_12.806_77.699,27,0,Junction Choke Points,Stable
cell_12.806_77.7,27,0,Junction Choke Points,Stable
cell_12.807_77.697,27,1,Night Spillovers,Stable
cell_12.807_77.698,27,0,Junction Choke Points,Stable
cell_12.807_77.699,27,0,Junction Choke Points,Stable
cell_12.808_77.697,27,5,Mixed Risk Zone,Stable
cell_12.808_77.698,27,1,Night Spillovers,Stable
cell_12.811_77.694,-1,4,Freight Obstruction Corridors,Stable
cell_12.811_77.695,27,4,Freight Obstruction Corridors,Stable
cell_12.812_77.694,-1,4,Freight Obstruction Corridors,Stable
cell_12.814_77.692,-1,1,Night Spillovers,Stable
cell_12.817_77.69,-1,4,Freight Obstruction Corridors,Stable
cell_12.818_77.689,51,4,Freight Obstruction Corridors,Stable
cell_12.818_77.69,51,1,Night Spillovers,Stable
cell_12.819_77.688,50,1,Night Spillovers,Stable
cell_12.819_77.689,51,1,Night Spillovers,Stable
cell_12.819_77.69,51,1,Night Spillovers,Stable
cell_12.821_77.687,-1,0,Junction Choke Points,Stable
cell_12.821_77.688,-1,1,Night Spillovers,Stable
cell_12.822_77.686,-1,1,Night Spillovers,Stable
cell_12.822_77.687,-1,1,Night Spillovers,Stable
cell_12.823_77.685,-1,1,Night Spillovers,Stable
cell_12.823_77.686,-1,0,Junction Choke Points,Stable
cell_12.824_77.684,-1,1,Night Spillovers,Stable
cell_12.824_77.685,-1,0,Junction Choke Points,Stable
cell_12.825_77.683,38,4,Freight Obstruction Corridors,Stable
cell_12.825_77.684,-1,4,Freight Obstruction Corridors,Stable
cell_12.826_77.682,38,5,Mixed Risk Zone,Stable
cell_12.826_77.683,38,4,Freight Obstruction Corridors,Stable
cell_12.827_77.682,38,0,Junction Choke Points,Stable
cell_12.828_77.682,38,4,Freight Obstruction Corridors,Stable
cell_12.828_77.683,38,1,Night Spillovers,Stable
cell_12.829_77.682,38,4,Freight Obstruction Corridors,Stable
cell_12.82_77.687,-1,1,Night Spillovers,Stable
cell_12.82_77.688,50,0,Junction Choke Points,Growing
cell_12.82_77.689,-1,0,Junction Choke Points,Stable
cell_12.831_77.681,-1,1,Night Spillovers,Stable
cell_12.832_77.68,-1,4,Freight Obstruction Corridors,Stable
cell_12.833_77.68,-1,4,Freight Obstruction Corridors,Stable
cell_12.833_77.681,-1,4,Freight Obstruction Corridors,Stable
cell_12.835_77.679,37,4,Freight Obstruction Corridors,Declining
cell_12.835_77.68,37,5,Mixed Risk Zone,Stable
cell_12.835_77.681,37,5,Mixed Risk Zone,Stable
cell_12.836_77.679,37,1,Night Spillovers,Stable
cell_12.836_77.68,37,4,Freight Obstruction Corridors,Stable
cell_12.837_77.663,-1,1,Night Spillovers,Stable
cell_12.837_77.678,37,1,Night Spillovers,Stable
cell_12.838_77.677,-1,1,Night Spillovers,Stable
cell_12.839_77.651,-1,1,Night Spillovers,Stable
cell_12.839_77.657,-1,5,Mixed Risk Zone,Stable
cell_12.839_77.678,43,1,Night Spillovers,Stable
cell_12.83_77.681,-1,4,Freight Obstruction Corridors,Stable
