source,target,weight,edge_type
cell_12.803_77.704,cell_12.893_77.657,0.9999999396365209,similarity
cell_12.803_77.704,cell_13.02_77.54,0.9999997567292196,similarity
cell_12.803_77.704,cell_13.071_77.651,0.9999997488725194,similarity
cell_12.803_77.704,cell_13.042_77.611,0.9999994371974542,similarity
cell_12.803_77.704,cell_13.011_77.58,0.9999990268108864,similarity
cell_12.805_77.7,cell_12.936_77.512,0.999995617573788,similarity
cell_12.805_77.7,cell_12.995_77.653,0.9999143312825386,similarity
cell_12.805_77.7,cell_12.982_77.629,0.9995664785332419,similarity
cell_12.805_77.7,cell_13.148_77.62,0.9981666575213667,similarity
cell_12.805_77.7,cell_12.967_77.703,0.9978656187746041,similarity
cell_12.806_77.698,cell_12.934_77.563,0.9998876056037507,similarity
cell_12.806_77.698,cell_12.998_77.675,0.9998597809044919,similarity
cell_12.806_77.698,cell_12.937_77.558,0.9998441640783791,similarity
cell_12.806_77.698,cell_12.844_77.649,0.9998438370567314,similarity
cell_12.806_77.698,cell_12.924_77.597,0.9998208374643597,similarity
cell_12.806_77.699,cell_13.023_77.563,0.9998605530605967,similarity
cell_12.806_77.699,cell_12.978_77.696,0.9998013808108202,similarity
cell_12.806_77.699,cell_12.997_77.672,0.9997177262899579,similarity
cell_12.806_77.699,cell_12.971_77.65,0.9996428849955081,similarity
cell_12.806_77.699,cell_13.028_77.52,0.99959761076883,similarity
cell_12.806_77.7,cell_13.063_77.74,0.9996486421662873,similarity
cell_12.806_77.7,cell_12.972_77.75,0.99816023086366,similarity
cell_12.806_77.7,cell_12.956_77.702,0.9980574331645733,similarity
cell_12.806_77.7,cell_12.938_77.702,0.998010219907449,similarity
cell_12.806_77.7,cell_12.995_77.653,0.9950458687355177,similarity
cell_12.807_77.697,cell_13.006_77.751,0.9997416106312823,similarity
cell_12.807_77.697,cell_13.098_77.577,0.9997326798598964,similarity
cell_12.807_77.697,cell_12.973_77.701,0.9997309565144857,similarity
cell_12.807_77.697,cell_12.946_77.487,0.9996098004467058,similarity
cell_12.807_77.697,cell_12.965_77.762,0.9995733281980239,similarity
cell_12.807_77.698,cell_12.995_77.566,0.9992071934380273,similarity
cell_12.807_77.698,cell_12.959_77.525,0.9991578280865056,similarity
cell_12.807_77.698,cell_13.069_77.581,0.9986322518053169,similarity
cell_12.807_77.698,cell_12.95_77.523,0.9985874508007409,similarity
cell_12.807_77.698,cell_13.244_77.715,0.9985321373482463,similarity
cell_12.807_77.699,cell_12.947_77.533,0.9939452933149795,similarity
cell_12.807_77.699,cell_13.004_77.568,0.9912301575507593,similarity
cell_12.807_77.699,cell_12.949_77.522,0.9902570354725233,similarity
cell_12.807_77.699,cell_12.958_77.715,0.9902013873192018,similarity
cell_12.807_77.699,cell_13.062_77.742,0.9898435397701498,similarity
cell_12.808_77.697,cell_12.915_77.651,0.9999999913965266,similarity
cell_12.808_77.697,cell_13.017_77.709,0.9999999905552224,similarity
cell_12.808_77.697,cell_13.031_77.717,0.9999998601501054,similarity
cell_12.808_77.697,cell_12.861_77.648,0.999999784568175,similarity
cell_12.808_77.697,cell_12.93_77.609,0.9999995710171515,similarity
cell_12.808_77.698,cell_12.923_77.495,0.9999964153068794,similarity
cell_12.808_77.698,cell_13.094_77.596,0.9998785960033457,similarity
cell_12.808_77.698,cell_13.001_77.574,0.999512653212502,similarity
cell_12.808_77.698,cell_12.994_77.667,0.9994234298253171,similarity
