spatial_cell,lat,lon,archetype_name,mean_poi,cis,propagation_score,enforcement_failure_index,heavy_vehicle_ratio,junction_ratio,violations,degree,pagerank,betweenness,community_id
cell_12.803_77.704,12.8026667,77.7043117,Night Spillovers,0.7537718023763802,24.048746161719553,26.10030706243603,30.254094165813715,0.0,0.0,1,6,0.00012372521069979516,7.53278275241659e-07,53
cell_12.805_77.7,12.80546215,77.6996843,Junction Choke Points,1.4759065198095778,68.69082650972365,77.1878198567042,62.38318833162744,0.0,0.0,2,5,0.00010404706483306398,9.8253688074999e-08,45
cell_12.806_77.698,12.8061427,77.6980816,Night Spillovers,0.9886113934537812,47.91997185261003,48.72057318321392,49.23426305015353,0.0,0.0,2,7,0.00013625780780141347,0.0007593372526729507,24
cell_12.806_77.699,12.805853316666665,77.69932914166667,Junction Choke Points,1.403679630959374,70.57606192425794,71.77584442169908,66.0974923234391,0.0,0.0,12,6,0.00010941114486247893,6.550245871666601e-08,0
cell_12.806_77.7,12.805588799999999,77.6995952,Junction Choke Points,1.6081700621651658,72.28473643807575,81.00051177072672,64.2309365404299,0.0,0.0,4,5,0.0001162069765220846,0.0006229938848542104,45
cell_12.807_77.697,12.80683397,77.69709128,Night Spillovers,0.7149405994881887,30.805719037871036,15.097236438075742,40.96238485158649,0.0,0.0,10,9,0.0001588564710587779,0.0005403952844124946,2
cell_12.807_77.698,12.806689042857142,77.69796501428571,Junction Choke Points,1.2223448435099313,63.25582139201637,63.38280450358239,60.20777891504606,0.0,0.0,7,5,0.00011007865592128467,0.0002998047535461803,0
cell_12.807_77.699,12.806801533333333,77.69855623333333,Junction Choke Points,1.5151372960078369,67.87359263050153,78.5568065506653,60.488868986693966,0.3333333333333333,0.0,3,6,0.00011358201140143803,6.543695625794935e-05,0
cell_12.808_77.697,12.8080164,77.6973104,Mixed Risk Zone,0.7537718023763802,20.490660184237463,17.11873080859775,27.90736949846469,0.0,0.0,1,9,0.00016813328432660664,1.6375614679166502e-07,20
cell_12.808_77.698,12.8078253,77.6977015,Night Spillovers,1.0560526742493137,44.443129477993864,53.147389969293755,43.65634595701126,0.0,0.0,1,7,0.00013095594102881215,0.0,60
cell_12.811_77.694,12.811293975,77.694435075,Freight Obstruction Corridors,1.1786549963416462,62.38677072671444,62.448822927328564,60.26241044012283,0.0,0.0,4,6,0.0001280565007638007,0.003752373850042929,0
cell_12.811_77.695,12.8111921,77.6946316,Freight Obstruction Corridors,0.7537718023763802,20.587896622313202,17.387410440122824,27.994882292732854,0.0,0.0,1,5,0.00011347458425153689,0.001357734964279053,20
cell_12.812_77.694,12.81185095,77.69400925,Freight Obstruction Corridors,1.2322589566316795,59.739636642784035,63.70266120777891,56.36476458546571,0.0,0.0,2,5,0.0001055565357466886,0.0,10
cell_12.814_77.692,12.8141119,77.6924135,Night Spillovers,1.1786549963416462,49.95905834186284,61.079836233367445,47.228761514841345,0.0,0.0,1,5,0.00011217927485819962,0.0,41
cell_12.817_77.69,12.817297,77.6899428,Freight Obstruction Corridors,0.5596157879354227,11.574974411463664,5.5655066530194475,21.804247697031727,0.0,0.0,1,5,0.000110369765238831,0.0,13
cell_12.818_77.689,12.818208559523809,77.68925663928572,Freight Obstruction Corridors,0.8513555606494295,46.8746801432958,33.904810644831116,57.3720573183214,0.023809523809523808,0.0,84,5,0.00010970026352704492,0.0005602752806330027,0
cell_12.818_77.69,12.818186758333333,77.689773725,Night Spillovers,1.022875506637167,54.79625127942681,51.305015353121796,55.470189355168884,0.0,0.0,24,8,0.00015135230388670516,0.0055369228353197774,0
cell_12.819_77.688,12.819210725,77.68807961666667,Night Spillovers,0.5539254403653125,15.860094677584444,3.646366427840327,31.87576765609007,0.0,0.0,12,5,0.00010580872921732205,0.0,2
cell_12.819_77.689,12.818906415789474,77.68903972982456,Night Spillovers,1.1051478805846757,51.78064227226202,55.84698055271239,45.86988229273285,0.08771929824561403,0.0,57,7,0.00015155697853419056,0.0023546496347173515,7
