spatial_cell,embedding_row,archetype_name
cell_12.803_77.704,0,Night Spillovers
cell_12.805_77.7,1,Junction Choke Points
cell_12.806_77.698,2,Night Spillovers
cell_12.806_77.699,3,Junction Choke Points
cell_12.806_77.7,4,Junction Choke Points
cell_12.807_77.697,5,Night Spillovers
cell_12.807_77.698,6,Junction Choke Points
cell_12.807_77.699,7,Junction Choke Points
cell_12.808_77.697,8,Mixed Risk Zone
cell_12.808_77.698,9,Night Spillovers
cell_12.811_77.694,10,Freight Obstruction Corridors
cell_12.811_77.695,11,Freight Obstruction Corridors
cell_12.812_77.694,12,Freight Obstruction Corridors
cell_12.814_77.692,13,Night Spillovers
cell_12.817_77.69,14,Freight Obstruction Corridors
cell_12.818_77.689,15,Freight Obstruction Corridors
cell_12.818_77.69,16,Night Spillovers
cell_12.819_77.688,17,Night Spillovers
cell_12.819_77.689,18,Night Spillovers
cell_12.819_77.69,19,Night Spillovers
cell_12.821_77.687,20,Junction Choke Points
cell_12.821_77.688,21,Night Spillovers
cell_12.822_77.686,22,Night Spillovers
cell_12.822_77.687,23,Night Spillovers
cell_12.823_77.685,24,Night Spillovers
cell_12.823_77.686,25,Junction Choke Points
cell_12.824_77.684,26,Night Spillovers
cell_12.824_77.685,27,Junction Choke Points
cell_12.825_77.683,28,Freight Obstruction Corridors
cell_12.825_77.684,29,Freight Obstruction Corridors
cell_12.826_77.682,30,Mixed Risk Zone
cell_12.826_77.683,31,Freight Obstruction Corridors
cell_12.827_77.682,32,Junction Choke Points
cell_12.828_77.682,33,Freight Obstruction Corridors
cell_12.828_77.683,34,Night Spillovers
cell_12.829_77.682,35,Freight Obstruction Corridors
cell_12.82_77.687,36,Night Spillovers
cell_12.82_77.688,37,Junction Choke Points
cell_12.82_77.689,38,Junction Choke Points
cell_12.831_77.681,39,Night Spillovers
cell_12.832_77.68,40,Freight Obstruction Corridors
cell_12.833_77.68,41,Freight Obstruction Corridors
cell_12.833_77.681,42,Freight Obstruction Corridors
cell_12.835_77.679,43,Freight Obstruction Corridors
cell_12.835_77.68,44,Mixed Risk Zone
cell_12.835_77.681,45,Mixed Risk Zone
cell_12.836_77.679,46,Night Spillovers
cell_12.836_77.68,47,Freight Obstruction Corridors
cell_12.837_77.663,48,Night Spillovers
cell_12.837_77.678,49,Night Spillovers
cell_12.838_77.677,50,Night Spillovers
cell_12.839_77.651,51,Night Spillovers
cell_12.839_77.657,52,Mixed Risk Zone
cell_12.839_77.678,53,Night Spillovers
cell_12.83_77.681,54,Freight Obstruction Corridors
cell_12.83_77.682,55,Freight Obstruction Corridors
cell_12.841_77.644,56,Freight Obstruction Corridors
cell_12.841_77.645,57,Night Spillovers
cell_12.841_77.646,58,Mixed Risk Zone
cell_12.841_77.647,59,Night Spillovers
cell_12.841_77.648,60,Mixed Risk Zone
cell_12.841_77.649,61,Night Spillovers
cell_12.841_77.65,62,Mixed Risk Zone
cell_12.841_77.651,63,Mixed Risk Zone
cell_12.841_77.652,64,Night Spillovers
cell_12.841_77.663,65,Night Spillovers
cell_12.841_77.676,66,Night Spillovers
cell_12.841_77.677,67,Night Spillovers
cell_12.842_77.644,68,Mixed Risk Zone
cell_12.842_77.645,69,Mixed Risk Zone
cell_12.842_77.646,70,Weekend Event Zones
cell_12.842_77.647,71,Mixed Risk Zone
cell_12.842_77.648,72,Mixed Risk Zone
cell_12.842_77.665,73,Night Spillovers
cell_12.842_77.676,74,Night Spillovers
cell_12.842_77.686,75,Night Spillovers
cell_12.842_77.687,76,Night Spillovers
cell_12.843_77.639,77,Night Spillovers
cell_12.843_77.642,78,Night Spillovers
cell_12.843_77.643,79,Freight Obstruction Corridors
cell_12.843_77.644,80,Mixed Risk Zone
cell_12.843_77.645,81,Night Spillovers
cell_12.843_77.674,82,Freight Obstruction Corridors
cell_12.843_77.675,83,Night Spillovers
cell_12.843_77.687,84,Freight Obstruction Corridors
cell_12.843_77.688,85,Freight Obstruction Corridors
cell_12.844_77.588,86,Night Spillovers
cell_12.844_77.644,87,Night Spillovers
cell_12.844_77.645,88,Night Spillovers
cell_12.844_77.649,89,Mixed Risk Zone
cell_12.844_77.688,90,Freight Obstruction Corridors
cell_12.845_77.657,91,Night Spillovers
cell_12.845_77.665,92,Night Spillovers
cell_12.845_77.666,93,Night Spillovers
cell_12.846_77.588,94,Mixed Risk Zone
cell_12.846_77.647,95,Night Spillovers
cell_12.846_77.648,96,Night Spillovers
cell_12.846_77.672,97,Night Spillovers
cell_12.846_77.681,98,Night Spillovers
cell_12.847_77.672,99,Freight Obstruction Corridors
cell_12.848_77.658,100,Mixed Risk Zone
cell_12.849_77.671,101,Night Spillovers
cell_12.84_77.644,102,Freight Obstruction Corridors
cell_12.84_77.65,103,Mixed Risk Zone
cell_12.84_77.651,104,Freight Obstruction Corridors
cell_12.84_77.652,105,Mixed Risk Zone
cell_12.84_77.653,106,Night Spillovers
cell_12.84_77.654,107,Night Spillovers
cell_12.84_77.663,108,Night Spillovers
cell_12.84_77.664,109,Night Spillovers
cell_12.84_77.676,110,Mixed Risk Zone
cell_12.84_77.677,111,Night Spillovers
cell_12.84_77.678,112,Night Spillovers
cell_12.851_77.588,113,Night Spillovers
cell_12.851_77.657,114,Mixed Risk Zone
cell_12.851_77.658,115,Night Spillovers
cell_12.852_77.588,116,Night Spillovers
cell_12.853_77.588,117,Night Spillovers
cell_12.853_77.589,118,Freight Obstruction Corridors
cell_12.854_77.588,119,Freight Obstruction Corridors
cell_12.854_77.589,120,Night Spillovers
cell_12.854_77.662,121,Night Spillovers
cell_12.855_77.589,122,Night Spillovers
cell_12.855_77.664,123,Freight Obstruction Corridors
cell_12.855_77.665,124,Freight Obstruction Corridors
cell_12.855_77.666,125,Night Spillovers
cell_12.855_77.675,126,Night Spillovers
cell_12.856_77.569,127,Night Spillovers
cell_12.856_77.589,128,Night Spillovers
cell_12.856_77.663,129,Night Spillovers
cell_12.856_77.664,130,Junction Choke Points
cell_12.856_77.665,131,Night Spillovers
cell_12.857_77.53,132,Night Spillovers
cell_12.857_77.589,133,Night Spillovers
cell_12.857_77.59,134,Night Spillovers
cell_12.857_77.663,135,Junction Choke Points
cell_12.857_77.664,136,Night Spillovers
cell_12.858_77.589,137,Night Spillovers
cell_12.859_77.589,138,Freight Obstruction Corridors
cell_12.859_77.59,139,Night Spillovers
cell_12.859_77.703,140,Night Spillovers
cell_12.85_77.589,141,Night Spillovers
cell_12.85_77.652,142,Freight Obstruction Corridors
cell_12.85_77.658,143,Night Spillovers
cell_12.861_77.529,144,Night Spillovers
cell_12.861_77.53,145,Freight Obstruction Corridors
cell_12.861_77.59,146,Freight Obstruction Corridors
cell_12.861_77.613,147,Night Spillovers
cell_12.861_77.648,148,Night Spillovers
cell_12.861_77.66,149,Night Spillovers
cell_12.861_77.674,150,Night Spillovers
cell_12.861_77.675,151,Night Spillovers
cell_12.862_77.529,152,Freight Obstruction Corridors
cell_12.862_77.53,153,Night Spillovers
cell_12.862_77.59,154,Mixed Risk Zone
cell_12.862_77.706,155,Night Spillovers
cell_12.863_77.53,156,Night Spillovers
cell_12.863_77.531,157,Night Spillovers
cell_12.863_77.658,158,Night Spillovers
cell_12.864_77.533,159,Freight Obstruction Corridors
cell_12.865_77.533,160,Night Spillovers
cell_12.865_77.656,161,Night Spillovers
cell_12.865_77.657,162,Night Spillovers
cell_12.866_77.534,163,Night Spillovers
cell_12.866_77.535,164,Night Spillovers
cell_12.866_77.536,165,Night Spillovers
cell_12.866_77.592,166,Night Spillovers
cell_12.867_77.534,167,Mixed Risk Zone
cell_12.867_77.535,168,Night Spillovers
cell_12.867_77.581,169,Night Spillovers
cell_12.867_77.655,170,Night Spillovers
cell_12.867_77.656,171,Night Spillovers
cell_12.868_77.535,172,Junction Choke Points
cell_12.868_77.536,173,Freight Obstruction Corridors
cell_12.868_77.57,174,Mixed Risk Zone
cell_12.868_77.581,175,Night Spillovers
cell_12.868_77.592,176,Night Spillovers
cell_12.868_77.654,177,Night Spillovers
cell_12.869_77.536,178,Night Spillovers
cell_12.869_77.537,179,Night Spillovers
cell_12.869_77.576,180,Night Spillovers
cell_12.869_77.653,181,Freight Obstruction Corridors
cell_12.869_77.654,182,Night Spillovers
cell_12.869_77.66,183,Night Spillovers
cell_12.869_77.661,184,Freight Obstruction Corridors
cell_12.86_77.528,185,Freight Obstruction Corridors
cell_12.86_77.648,186,Night Spillovers
cell_12.86_77.66,187,Night Spillovers
cell_12.86_77.661,188,Night Spillovers
cell_12.871_77.538,189,Night Spillovers
cell_12.871_77.539,190,Night Spillovers
cell_12.871_77.57,191,Night Spillovers
cell_12.871_77.583,192,Mixed Risk Zone
cell_12.871_77.652,193,Night Spillovers
cell_12.871_77.653,194,Night Spillovers
cell_12.871_77.654,195,Night Spillovers
cell_12.871_77.655,196,Night Spillovers
cell_12.871_77.656,197,Night Spillovers
cell_12.871_77.657,198,Mixed Risk Zone
cell_12.871_77.658,199,Freight Obstruction Corridors
cell_12.871_77.659,200,Night Spillovers
cell_12.872_77.539,201,Night Spillovers
cell_12.872_77.566,202,Mixed Risk Zone
cell_12.872_77.567,203,Night Spillovers
cell_12.872_77.65,204,Night Spillovers
cell_12.872_77.651,205,Night Spillovers
cell_12.872_77.652,206,Freight Obstruction Corridors
cell_12.872_77.654,207,Mixed Risk Zone
cell_12.872_77.655,208,Night Spillovers
cell_12.873_77.539,209,Night Spillovers
cell_12.873_77.54,210,Night Spillovers
cell_12.873_77.566,211,Night Spillovers
cell_12.873_77.567,212,Night Spillovers
cell_12.873_77.593,213,Freight Obstruction Corridors
cell_12.873_77.594,214,Freight Obstruction Corridors
cell_12.873_77.595,215,Night Spillovers
cell_12.873_77.602,216,Night Spillovers
cell_12.873_77.654,217,Night Spillovers
cell_12.874_77.54,218,Mixed Risk Zone
cell_12.874_77.541,219,Night Spillovers
cell_12.874_77.543,220,Night Spillovers
cell_12.874_77.564,221,Night Spillovers
cell_12.874_77.565,222,Night Spillovers
cell_12.874_77.584,223,Night Spillovers
cell_12.874_77.594,224,Night Spillovers
cell_12.874_77.595,225,Night Spillovers
cell_12.874_77.618,226,Mixed Risk Zone
cell_12.874_77.64,227,Freight Obstruction Corridors
cell_12.874_77.642,228,Night Spillovers
cell_12.874_77.643,229,Night Spillovers
cell_12.874_77.644,230,Night Spillovers
cell_12.874_77.645,231,Night Spillovers
cell_12.874_77.646,232,Junction Choke Points
cell_12.874_77.649,233,Night Spillovers
cell_12.874_77.654,234,Night Spillovers
cell_12.875_77.538,235,Night Spillovers
cell_12.875_77.539,236,Mixed Risk Zone
cell_12.875_77.541,237,Night Spillovers
cell_12.875_77.542,238,Night Spillovers
cell_12.875_77.543,239,Mixed Risk Zone
cell_12.875_77.544,240,Night Spillovers
cell_12.875_77.595,241,Night Spillovers
cell_12.875_77.596,242,Night Spillovers
cell_12.875_77.64,243,Junction Choke Points
cell_12.875_77.648,244,Freight Obstruction Corridors
cell_12.875_77.649,245,Junction Choke Points
cell_12.875_77.669,246,Mixed Risk Zone
cell_12.875_77.67,247,Mixed Risk Zone
cell_12.875_77.671,248,Night Spillovers
cell_12.876_77.529,249,Mixed Risk Zone
cell_12.876_77.531,250,Night Spillovers
cell_12.876_77.532,251,Night Spillovers
cell_12.876_77.542,252,Freight Obstruction Corridors
cell_12.876_77.543,253,Mixed Risk Zone
cell_12.876_77.544,254,Night Spillovers
cell_12.876_77.595,255,Night Spillovers
cell_12.876_77.596,256,Night Spillovers
cell_12.876_77.597,257,Night Spillovers
cell_12.876_77.598,258,Mixed Risk Zone
cell_12.876_77.612,259,Night Spillovers
cell_12.876_77.616,260,Mixed Risk Zone
cell_12.876_77.617,261,Night Spillovers
cell_12.876_77.639,262,Freight Obstruction Corridors
cell_12.876_77.64,263,Freight Obstruction Corridors
cell_12.876_77.647,264,Freight Obstruction Corridors
cell_12.876_77.648,265,Junction Choke Points
cell_12.876_77.649,266,Night Spillovers
cell_12.876_77.671,267,Night Spillovers
cell_12.876_77.672,268,Night Spillovers
cell_12.877_77.544,269,Night Spillovers
cell_12.877_77.545,270,Junction Choke Points
cell_12.877_77.546,271,Mixed Risk Zone
cell_12.877_77.595,272,Mixed Risk Zone
cell_12.877_77.596,273,Night Spillovers
cell_12.877_77.598,274,Night Spillovers
cell_12.877_77.611,275,Night Spillovers
cell_12.877_77.612,276,Night Spillovers
cell_12.877_77.615,277,Night Spillovers
cell_12.877_77.626,278,Night Spillovers
cell_12.877_77.639,279,Junction Choke Points
cell_12.877_77.646,280,Night Spillovers
cell_12.877_77.647,281,Freight Obstruction Corridors
cell_12.877_77.648,282,Night Spillovers
cell_12.877_77.672,283,Night Spillovers
cell_12.877_77.736,284,Freight Obstruction Corridors
cell_12.878_77.445,285,Night Spillovers
cell_12.878_77.517,286,Night Spillovers
cell_12.878_77.545,287,Night Spillovers
cell_12.878_77.595,288,Night Spillovers
cell_12.878_77.596,289,Night Spillovers
cell_12.878_77.597,290,Night Spillovers
cell_12.878_77.602,291,Night Spillovers
cell_12.878_77.625,292,Night Spillovers
cell_12.878_77.626,293,Mixed Risk Zone
cell_12.878_77.628,294,Night Spillovers
cell_12.878_77.646,295,Night Spillovers
cell_12.878_77.647,296,Night Spillovers
cell_12.878_77.655,297,Freight Obstruction Corridors
cell_12.878_77.672,298,Night Spillovers
cell_12.879_77.445,299,Night Spillovers
cell_12.879_77.544,300,Freight Obstruction Corridors
cell_12.879_77.545,301,Night Spillovers
cell_12.879_77.546,302,Night Spillovers
cell_12.879_77.555,303,Night Spillovers
cell_12.879_77.595,304,Night Spillovers
cell_12.879_77.61,305,Night Spillovers
cell_12.879_77.626,306,Night Spillovers
cell_12.879_77.627,307,Night Spillovers
cell_12.879_77.636,308,Night Spillovers
cell_12.879_77.637,309,Mixed Risk Zone
cell_12.879_77.638,310,Night Spillovers
cell_12.879_77.639,311,Freight Obstruction Corridors
cell_12.879_77.641,312,Freight Obstruction Corridors
cell_12.879_77.642,313,Freight Obstruction Corridors
cell_12.879_77.645,314,Junction Choke Points
cell_12.879_77.646,315,Freight Obstruction Corridors
cell_12.879_77.672,316,Night Spillovers
cell_12.87_77.537,317,Junction Choke Points
cell_12.87_77.538,318,Night Spillovers
cell_12.87_77.652,319,Night Spillovers
cell_12.87_77.653,320,Night Spillovers
cell_12.87_77.654,321,Mixed Risk Zone
cell_12.87_77.656,322,Night Spillovers
cell_12.87_77.657,323,Junction Choke Points
cell_12.87_77.658,324,Junction Choke Points
cell_12.87_77.659,325,Freight Obstruction Corridors
cell_12.87_77.66,326,Freight Obstruction Corridors
cell_12.881_77.544,327,Mixed Risk Zone
cell_12.881_77.546,328,Mixed Risk Zone
cell_12.881_77.552,329,Night Spillovers
cell_12.881_77.596,330,Night Spillovers
cell_12.881_77.598,331,Night Spillovers
cell_12.881_77.61,332,Night Spillovers
cell_12.881_77.639,333,Freight Obstruction Corridors
cell_12.881_77.641,334,Freight Obstruction Corridors
cell_12.881_77.642,335,Night Spillovers
cell_12.881_77.644,336,Junction Choke Points
cell_12.881_77.645,337,Junction Choke Points
cell_12.881_77.646,338,Night Spillovers
cell_12.881_77.655,339,Night Spillovers
cell_12.882_77.543,340,Night Spillovers
cell_12.882_77.547,341,Night Spillovers
cell_12.882_77.595,342,Night Spillovers
cell_12.882_77.596,343,Night Spillovers
cell_12.882_77.61,344,Night Spillovers
cell_12.882_77.641,345,Freight Obstruction Corridors
cell_12.882_77.642,346,Night Spillovers
cell_12.882_77.643,347,Freight Obstruction Corridors
cell_12.882_77.644,348,Junction Choke Points
cell_12.882_77.647,349,Freight Obstruction Corridors
cell_12.882_77.65,350,Night Spillovers
cell_12.882_77.673,351,Night Spillovers
cell_12.882_77.757,352,Junction Choke Points
cell_12.883_77.546,353,Night Spillovers
cell_12.883_77.547,354,Night Spillovers
cell_12.883_77.549,355,Night Spillovers
cell_12.883_77.596,356,Night Spillovers
cell_12.883_77.607,357,Night Spillovers
cell_12.883_77.61,358,Night Spillovers
cell_12.883_77.636,359,Junction Choke Points
cell_12.883_77.637,360,Junction Choke Points
cell_12.883_77.638,361,Freight Obstruction Corridors
cell_12.883_77.64,362,Freight Obstruction Corridors
cell_12.883_77.641,363,Freight Obstruction Corridors
cell_12.883_77.642,364,Freight Obstruction Corridors
cell_12.883_77.643,365,Freight Obstruction Corridors
cell_12.883_77.644,366,Mixed Risk Zone
cell_12.883_77.647,367,Freight Obstruction Corridors
cell_12.883_77.649,368,Freight Obstruction Corridors
cell_12.883_77.65,369,Night Spillovers
cell_12.883_77.752,370,Night Spillovers
cell_12.883_77.753,371,Night Spillovers
cell_12.884_77.502,372,Night Spillovers
