spatial_cell,hour,avg_poi,avg_violations
cell_12.803_77.704,0.0,0.7537718023763802,1
cell_12.805_77.7,2.0,1.4759065198095778,2
cell_12.806_77.698,5.0,0.9886113934537812,2
cell_12.806_77.699,2.0,1.7871144088566089,4
cell_12.806_77.699,23.0,1.2119622420107565,8
cell_12.806_77.7,2.0,1.6522579096170285,2
cell_12.806_77.7,23.0,1.564082214713303,2
cell_12.807_77.697,3.0,0.7149405994881887,10
cell_12.807_77.698,23.0,1.2223448435099313,7
cell_12.807_77.699,0.0,1.1786549963416462,1
cell_12.807_77.699,23.0,1.683378445840932,2
cell_12.808_77.697,8.0,0.7537718023763802,1
cell_12.808_77.698,6.0,1.0560526742493137,1
cell_12.811_77.694,21.0,1.1786549963416462,4
cell_12.811_77.695,21.0,0.7537718023763802,1
cell_12.812_77.694,21.0,1.2322589566316795,2
cell_12.814_77.692,3.0,1.1786549963416462,1
cell_12.817_77.69,21.0,0.5596157879354227,1
cell_12.818_77.689,0.0,0.8999001372656676,4
cell_12.818_77.689,1.0,0.9367267285093035,2
cell_12.818_77.689,2.0,0.9662133993590132,2
cell_12.818_77.689,5.0,0.8380522000579806,22
cell_12.818_77.689,20.0,0.816804584606076,38
cell_12.818_77.689,21.0,0.5361127667474574,2
cell_12.818_77.689,23.0,0.9686027242822427,14
cell_12.818_77.69,3.0,1.151292546497023,10
cell_12.818_77.69,5.0,0.7211917498633583,7
cell_12.818_77.69,6.0,0.9366263657672725,3
cell_12.818_77.69,8.0,1.333070117211602,3
cell_12.818_77.69,23.0,1.1786549963416462,1
cell_12.819_77.688,0.0,0.38237041687347706,2
cell_12.819_77.688,1.0,0.44628710262841953,2
cell_12.819_77.688,2.0,0.661398482245365,1
cell_12.819_77.688,3.0,0.5566300616134684,3
cell_12.819_77.688,6.0,0.6646253945735466,4
cell_12.819_77.689,0.0,1.5152112470537178,10
cell_12.819_77.689,1.0,1.7047480922384253,4
cell_12.819_77.689,4.0,0.6000294525023999,2
cell_12.819_77.689,5.0,1.0361607527954406,7
cell_12.819_77.689,6.0,1.2256265297657487,9
cell_12.819_77.689,7.0,0.7491231818557446,6
cell_12.819_77.689,20.0,0.6118015411059929,3
cell_12.819_77.689,21.0,0.7433868041309878,8
cell_12.819_77.689,22.0,0.6000294525023999,2
cell_12.819_77.689,23.0,1.3435340598109768,6
cell_12.819_77.69,5.0,0.44628710262841953,1
cell_12.821_77.687,0.0,0.7537718023763802,1
cell_12.821_77.687,1.0,0.9886113934537812,2
cell_12.821_77.687,3.0,1.3862943611198906,4
cell_12.821_77.687,4.0,0.7537718023763802,2
cell_12.821_77.687,5.0,0.44628710262841953,1
cell_12.821_77.687,7.0,1.545521226679158,4
cell_12.821_77.688,2.0,1.1786549963416462,1
cell_12.821_77.688,3.0,0.9162907318741551,1
cell_12.821_77.688,6.0,0.7537718023763802,1
cell_12.822_77.686,2.0,1.1786549963416462,2
cell_12.822_77.687,6.0,1.1786549963416462,1
cell_12.823_77.685,2.0,1.4569549127648211,2
cell_12.823_77.685,4.0,0.7537718023763802,1
cell_12.823_77.685,6.0,0.9162907318741551,1
cell_12.823_77.686,2.0,1.6942416652269212,10
cell_12.823_77.686,4.0,1.1786549963416462,3
cell_12.823_77.686,8.0,0.9886113934537812,2
cell_12.824_77.684,2.0,0.9162907318741551,1
cell_12.824_77.685,2.0,1.890850371872286,2
cell_12.825_77.683,21.0,1.1786549963416462,3
cell_12.825_77.684,21.0,1.890850371872286,2
cell_12.826_77.682,8.0,0.9886113934537812,2
cell_12.826_77.682,20.0,0.9162907318741551,1
cell_12.826_77.682,22.0,1.1786549963416462,1
cell_12.826_77.683,21.0,1.534752684106966,2
cell_12.827_77.682,21.0,1.3567038402243061,4
cell_12.827_77.682,22.0,1.6534519133620726,3
cell_12.828_77.682,0.0,0.44628710262841953,1
cell_12.828_77.682,21.0,1.1511390487099824,6
cell_12.828_77.683,1.0,0.44628710262841953,1
cell_12.828_77.683,4.0,0.7537718023763802,1
cell_12.829_77.682,21.0,0.9162907318741551,1
cell_12.829_77.682,22.0,1.55814461804655,1
cell_12.82_77.687,3.0,1.1786549963416462,2
cell_12.82_77.688,0.0,0.8124710494850329,2
cell_12.82_77.688,1.0,1.4759065198095778,2
cell_12.82_77.688,3.0,1.3862943611198906,16
cell_12.82_77.688,4.0,0.7537718023763802,2
cell_12.82_77.688,6.0,1.1786549963416462,1
cell_12.82_77.688,21.0,0.8222919452547504,12
cell_12.82_77.688,23.0,1.0523838636200125,6
cell_12.82_77.689,2.0,1.3862943611198906,1
cell_12.831_77.681,2.0,0.9162907318741551,1
cell_12.831_77.681,21.0,0.9162907318741551,1
cell_12.831_77.681,22.0,0.9162907318741551,1
cell_12.832_77.68,21.0,0.44628710262841953,1
cell_12.833_77.68,21.0,0.9162907318741551,1
cell_12.833_77.681,21.0,0.7537718023763802,1
cell_12.835_77.679,4.0,0.7537718023763802,1
cell_12.835_77.679,6.0,0.7295567661528604,3
cell_12.835_77.679,7.0,0.8922861222809748,2
cell_12.835_77.679,8.0,0.7943204229780906,4
cell_12.835_77.679,20.0,0.7537718023763802,1
cell_12.835_77.679,21.0,1.4931764220749955,6
