spatial_cell,archetype_id,archetype_name,lifecycle_state,hotspot_text,mean_poi,cis,propagation_score,enforcement_failure_index,final_priority_score,forecast_next_poi,pred_high_risk_prob
cell_12.803_77.704,1,Night Spillovers,Stable,Spatial Cell cell_12.803_77.704. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 24.05. Propagation Score 26.10. Enforcement Failure Index 30.25. Priority Score 26.17. Recommended Action: Night patrol + camera monitoring.,0.7537718023763802,24.048746161719553,26.10030706243603,30.254094165813715,26.168500511770727,0.7537718023763802,0.0
cell_12.805_77.7,0,Junction Choke Points,Stable,Spatial Cell cell_12.805_77.7. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.48. Congestion Impact Score 68.69. Propagation Score 77.19. Enforcement Failure Index 62.38. Priority Score 72.21. Recommended Action: Immediate patrol + tow readiness.,1.4759065198095778,68.69082650972365,77.1878198567042,62.38318833162744,72.20649948822927,1.4759065198095778,0.0
cell_12.806_77.698,1,Night Spillovers,Stable,Spatial Cell cell_12.806_77.698. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.99. Congestion Impact Score 47.92. Propagation Score 48.72. Enforcement Failure Index 49.23. Priority Score 43.27. Recommended Action: Night patrol + camera monitoring.,0.9886113934537812,47.91997185261003,48.72057318321392,49.23426305015353,43.26688843398158,0.9886113934537812,0.0
cell_12.806_77.699,0,Junction Choke Points,Stable,Spatial Cell cell_12.806_77.699. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.40. Congestion Impact Score 70.58. Propagation Score 71.78. Enforcement Failure Index 66.10. Priority Score 74.95. Recommended Action: Immediate patrol + tow readiness.,1.403679630959374,70.57606192425794,71.77584442169908,66.0974923234391,74.94687819856703,1.403679630959374,0.0
cell_12.806_77.7,0,Junction Choke Points,Stable,Spatial Cell cell_12.806_77.7. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.61. Congestion Impact Score 72.28. Propagation Score 81.00. Enforcement Failure Index 64.23. Priority Score 77.18. Recommended Action: Immediate patrol + tow readiness.,1.6081700621651658,72.28473643807575,81.00051177072672,64.2309365404299,77.18137154554758,1.6081700621651658,0.0
cell_12.807_77.697,1,Night Spillovers,Stable,Spatial Cell cell_12.807_77.697. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.71. Congestion Impact Score 30.81. Propagation Score 15.10. Enforcement Failure Index 40.96. Priority Score 29.68. Recommended Action: Night patrol + camera monitoring.,0.7149405994881887,30.805719037871036,15.097236438075742,40.96238485158649,29.679887410440127,0.7149405994881887,0.0
cell_12.807_77.698,0,Junction Choke Points,Stable,Spatial Cell cell_12.807_77.698. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.22. Congestion Impact Score 63.26. Propagation Score 63.38. Enforcement Failure Index 60.21. Priority Score 67.61. Recommended Action: Immediate patrol + tow readiness.,1.2223448435099313,63.25582139201637,63.38280450358239,60.20777891504606,67.61023541453427,1.2223448435099313,0.0
cell_12.807_77.699,0,Junction Choke Points,Stable,Spatial Cell cell_12.807_77.699. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.52. Congestion Impact Score 67.87. Propagation Score 78.56. Enforcement Failure Index 60.49. Priority Score 73.67. Recommended Action: Immediate patrol + tow readiness.,1.5151372960078369,67.87359263050153,78.5568065506653,60.488868986693966,73.67241555783009,1.5151372960078369,0.0
cell_12.808_77.697,5,Mixed Risk Zone,Stable,Spatial Cell cell_12.808_77.697. Archetype: Mixed Risk Zone. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 20.49. Propagation Score 17.12. Enforcement Failure Index 27.91. Priority Score 23.07. Recommended Action: Routine monitoring.,0.7537718023763802,20.490660184237463,17.11873080859775,27.90736949846469,23.066402251791203,0.7537718023763802,0.0
cell_12.808_77.698,1,Night Spillovers,Stable,Spatial Cell cell_12.808_77.698. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 1.06. Congestion Impact Score 44.44. Propagation Score 53.15. Enforcement Failure Index 43.66. Priority Score 42.40. Recommended Action: Night patrol + camera monitoring.,1.0560526742493137,44.443129477993864,53.147389969293755,43.65634595701126,42.39943705220062,1.0560526742493137,0.0
