display_label,archetype_name,lifecycle_state,final_priority_score,cis,recommended_action
BTP023 - Mahalaxmi Layout Entrance (Rajajinagar),Junction Choke Points,Emerging,113.07789150460594,94.96545547594678,Immediate patrol + tow readiness
"BTP083 - AS Char Street, Mysore Road (Chamarajpet)",Junction Choke Points,Emerging,112.97840327533264,95.38254861821902,Immediate patrol + tow readiness
"BTP204 - ESI Hospital, Rajajinagar (Rajajinagar)",Junction Choke Points,Emerging,112.87461617195495,93.85875127942684,Immediate patrol + tow readiness
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road (Rajajinagar)",Junction Choke Points,Emerging,112.69437052200614,95.1650460593654,Immediate patrol + tow readiness
BTP061 - Bhashyam Circle (Rajajinagar),Junction Choke Points,Emerging,112.18802456499488,93.88625895598771,Immediate patrol + tow readiness
"BTP204 - ESI Hospital, Rajajinagar (Rajajinagar)",Junction Choke Points,Emerging,111.71699078812694,92.74501023541454,Immediate patrol + tow readiness
BTP207 - 8th Main Road Basaveshwara Nagar (Vijayanagara),Junction Choke Points,Emerging,111.35035823950868,94.25537359263048,Immediate patrol + tow readiness
BTP061 - Bhashyam Circle (Rajajinagar),Junction Choke Points,Emerging,111.32610030706242,91.1566018423746,Immediate patrol + tow readiness
BTP118 - Basappa Circle (City Market),Junction Choke Points,Emerging,111.24135107471852,93.528659160696,Immediate patrol + tow readiness
BTP082 - KR Market Junction (Halasuru Gate),Junction Choke Points,Growing,111.14401228249746,93.30539918116683,Immediate patrol + tow readiness
